,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,husavik,90,IS,1601254339,100,66.04,-17.34,42.8,5.82
359,boddam,100,GB,1601254339,87,57.47,-1.78,44.01,3.36
360,port hardy,44,CD,1601254211,59,-7.03,29.76,76.51,4.81
361,taoudenni,0,ML,1601254340,10,22.68,-3.98,94.89,10.33
362,christchurch,95,NZ,1601254341,87,-43.53,172.63,54.0,18.34
363,coahuayana,75,MX,1601254341,83,18.73,-103.68,77.0,5.82
364,sao sebastiao,41,IN,1601254342,97,20.51,76.21,68.2,6.98
365,pozoblanco,0,ES,1601254342,59,38.38,-4.85,60.8,1.12
366,cabra,16,ES,1601254343,56,37.47,-4.44,63.0,1.97
367,nekrasovskaya,93,RU,1601254343,72,45.14,39.75,64.4,4.47
368,isetskoye,2,RU,1601254344,93,56.49,65.32,45.64,4.99
369,itabuna,0,BR,1601254344,96,-14.79,-39.28,64.53,1.03
370,black river,90,US,1601254345,88,31.01,-85.74,75.0,4.7
371,krasnoselkup,100,RU,1601254345,75,65.7,82.47,38.26,22.97
372,amarante do maranhao,95,BR,1601254170,29,-6.24,-42.85,86.83,2.1
373,sosnovo-ozerskoye,71,RU,1601254346,74,52.52,111.54,38.73,14.9
374,zhanaozen,0,KZ,1601254347,64,43.3,52.8,47.17,12.64
375,catumbela,28,AO,1601254347,83,-12.43,13.55,69.51,2.75
376,garissa,76,KE,1601254348,78,-0.45,39.64,74.82,12.64
377,zhuhai,40,CN,1601254348,94,22.28,113.57,80.6,13.87
378,yuli,100,NG,1601254349,87,9.7,10.27,73.45,6.11
379,casablanca,75,MA,1601254331,88,33.59,-7.62,68.0,6.93
380,bambanglipuro,100,ID,1601254350,68,-7.95,110.28,81.57,10.51
381,tahta,0,EG,1601254350,29,26.77,31.5,78.8,5.82
382,pangnirtung,49,CA,1601254351,91,66.15,-65.71,29.1,0.18
383,trelew,0,AR,1601254212,44,-43.25,-65.31,52.32,8.48
384,hinesburg,40,US,1601254352,68,44.33,-73.11,72.0,8.05
